sample,density,algorithm,averageTimeInNanoseconds
4,100,BranchAndBound,12738
4,100,Dynamic,1751
5,100,BranchAndBound,31780
5,100,Dynamic,2406
6,100,BranchAndBound,108392
6,100,Dynamic,5123
7,100,BranchAndBound,274755
7,100,Dynamic,6570
8,100,BranchAndBound,854729
8,100,Dynamic,21115
9,100,BranchAndBound,1960464
9,100,Dynamic,47499
10,100,BranchAndBound,4951153
10,100,Dynamic,113205
11,100,BranchAndBound,10231266
11,100,Dynamic,270562
12,100,BranchAndBound,27179706
12,100,Dynamic,635447
13,100,BranchAndBound,54018290
13,100,Dynamic,1542790
14,100,BranchAndBound,105735090
14,100,Dynamic,3491100
15,100,BranchAndBound,213856920
15,100,Dynamic,8346150
16,100,BranchAndBound,583589330
16,100,Dynamic,18826820
17,100,BranchAndBound,1064295560
17,100,Dynamic,55277370
18,100,BranchAndBound,2491110540
18,100,Dynamic,191651260
